flight_id,date,time,Aircraft_ID,Sensor_ID,Skye_Code
PS1_HER_20170624,24/06/2017,NA,DJU Phantom 4 Pro (Will),Sequoia (WHITE),5-6
PS1_HER_20170626,26/06/2017,19:44:00,DJU Phantom 4 Pro (Will),Sequoia (RED),NA
PS1_HER_20170709,09/07/2017,18:48:00,Iris+ (TeamShrub),Sequoia (WHITE),7-8
PS1_HER_20170711,11/07/2017,12:40:00,Iris+ (TeamShrub),Sequoia (RED),5-6
PS1_HER_20170717,17/07/2017,15:48:00,Iris+ (TeamShrub),Sequoia (RED),1
PS1_HER_20170726,26/07/2017,13:01:00,Iris+ (TeamShrub),Sequoia (RED),7
PS1_HER_20170809,09/08/2017,12:45:00,Iris+ (TeamShrub),Sequoia (RED),0
PS1_KOM_20170624,24/06/2017,NA,DJU Phantom 4 Pro (Will),Sequioa (WHITE),6-5
PS1_KOM_20170626,26/06/2017,18:47:00,DJU Phantom 4 Pro (Will),Sequoia (RED),3
PS1_KOM_20170709,09/07/2017,19:19:00,Iris+ (TeamShrub),Sequioa (WHITE),7-8
PS1_KOM_20170711,11/07/2017,12:25:00,Iris+ (TeamShrub),Sequoia (RED),5-6
PS1_KOM_20170717,17/07/2017,15:34:00,Iris+ (TeamShrub),Sequoia (RED),1
PS1_KOM_20170726,26/07/2017,13:10:00,Iris+ (TeamShrub),Sequoia (RED),7
PS1_KOM_20170809,09/08/2017,13:41:00,Iris+ (TeamShrub),Sequoia (RED),0
PS2_HER_20170711,11/07/2017,14:08:00,Iris+ (TeamShrub),Sequoia (RED),5-6
PS2_HER_20170717,17/07/2017,17:32:00,Iris+ (TeamShrub),Sequoia (RED),1
PS2_HER_20170726,26/07/2017,14:12:00,Iris+ (TeamShrub),Sequoia (RED),7
PS2_HER_20170807,07/08/2017,18:24:00,Iris+ (TeamShrub),Sequoia (RED),9
PS2_HER_20170809,09/08/2017,15:54:00,Iris+ (TeamShrub),Sequoia (RED),0
PS2_HER_20170626,26/06/2017,17:31:00,DJU Phantom 4 Pro (Will),Sequoia (RED),3
PS2_KOM_20170711,11/07/2017,15:28:00,Iris+ (TeamShrub),Sequoia (RED),2-3
PS2_KOM_20170717,17/07/2017,18:30:00,Iris+ (TeamShrub),Sequoia (RED),1
PS2_KOM_20170726,26/07/2017,14:22:00,Iris+ (TeamShrub),Sequoia (RED),7
PS2_KOM_20170807,07/08/2017,18:49:00,Iris+ (TeamShrub),Sequoia (RED),5-8
PS2_KOM_20170809,09/08/2017,15:33:00,Iris+ (TeamShrub),Sequoia (RED),0
PS2_KOM_20170626,26/06/2017,16:48:00,DJU Phantom 4 Pro (Will),Sequoia (RED),2
