"scene_id","date","cloud_free","folder_path"
"LC080650112016051301T1-SC20200818085500","2016-05-13","n","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080650112016051301T1-SC20200818085500"
"LC080650112016052901T1-SC20200818085302","2016-05-29","n","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080650112016052901T1-SC20200818085302"
"LC080650112016061401T2-SC20200818085434","2016-06-14","n","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080650112016061401T2-SC20200818085434"
"LC080650112016063001T1-SC20200818085534","2016-06-30","n","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080650112016063001T1-SC20200818085534"
"LC080650112016071601T2-SC20200818085510","2016-07-16","n","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080650112016071601T2-SC20200818085510"
"LC080650112016080101T1-SC20200818085526","2016-08-01","n","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080650112016080101T1-SC20200818085526"
"LC080650112016081701T1-SC20200818085522","2016-08-17","n","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080650112016081701T1-SC20200818085522"
"LC080650112016090201T1-SC20200818085504","2016-09-02","n","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080650112016090201T1-SC20200818085504"
"LC080650112016091801T2-SC20200818085514","2016-09-18","n","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080650112016091801T2-SC20200818085514"
"LC080660112016050401T2-SC20200818085232","2016-05-04","n","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080660112016050401T2-SC20200818085232"
"LC080660112016052001T1-SC20200818085316","2016-05-20","y","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080660112016052001T1-SC20200818085316"
"LC080660112016060501T1-SC20200818085502","2016-06-05","n","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080660112016060501T1-SC20200818085502"
"LC080660112016062101T1-SC20200818085254","2016-06-21","n","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080660112016062101T1-SC20200818085254"
"LC080660112016070701T1-SC20200818085218","2016-07-07","n","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080660112016070701T1-SC20200818085218"
"LC080660112016072301T1-SC20200818085514","2016-07-23","n","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080660112016072301T1-SC20200818085514"
