"Site Name","Vegetation Type","Date","Time (UTC-6)","Diff. to Solar Noon (h)","Solar Elevation","Solar Azimuth","Drone Platform","Sensor","Sky Code","Notes"
"Site 1 - Collinson Head","Tussock Sedge Tundra",2016-06-28,"19:10:00",3.85,33,247,"Tarot 680 Pro","Sequoia #1","clear",""
"Site 1 - Collinson Head","Tussock Sedge Tundra",2016-07-09,"15:30:00",0.15,43,183,"Tarot 680 Pro","Sequoia #1","continous cloud",""
"Site 1 - Collinson Head","Tussock Sedge Tundra",2016-07-23,"20:30:00",5.13,23,265,"Tarot 680 Pro","Sequoia #1","partially cloudy",""
"Site 1 - Collinson Head","Tussock Sedge Tundra",2016-07-29,"13:30:00",-1.87,36,147,"Tarot 680 Pro","Sequoia #1","continous cloud",""
"Site 1 - Collinson Head","Tussock Sedge Tundra",2016-07-30,"16:47:00",1.42,37,206,"Tarot 680 Pro","Sequoia #1","partially cloudy","No Calibration"
"Site 1 - Collinson Head","Tussock Sedge Tundra",2016-08-03,"14:10:00",-1.2,36,159,"Tarot 680 Pro","Sequoia #1","continous cloud",""
"Site 1 - Collinson Head","Tussock Sedge Tundra",2017-06-24,"20:29:00",5.18,26,267,"DJI Phantom 4 Pro (Will)","Sequoia #2","Cumulus over most of sky, sun not obscured (5) to Cumulus, sun obscured (6)","time approximate"
"Site 1 - Collinson Head","Tussock Sedge Tundra",2017-06-26,"19:44:00",4.42,30,256,"DJI Phantom 4 Pro (Will)","Sequoia #1","-",""
"Site 1 - Collinson Head","Tussock Sedge Tundra",2017-07-09,"18:48:00",3.45,34,241,"3DR Iris+ (TeamShrub)","Sequoia #2","Complete cumulus cover (7) to Stratus, sun obscured (8)",""
"Site 1 - Collinson Head","Tussock Sedge Tundra",2017-07-11,"12:40:00",-2.69,37,132,"3DR Iris+ (TeamShrub)","Sequoia #1","Cumulus over most of sky, sun not obscured (5) to Cumulus, sun obscured (6)",""
"Site 1 - Collinson Head","Tussock Sedge Tundra",2017-07-17,"15:48:00",0.44,41,188,"3DR Iris+ (TeamShrub)","Sequoia #1","Haze (1)",""
"Site 1 - Collinson Head","Tussock Sedge Tundra",2017-07-26,"13:01:00",-2.35,35,138,"3DR Iris+ (TeamShrub)","Sequoia #1","Complete cumulus cover (7)",""
"Site 1 - Collinson Head","Tussock Sedge Tundra",2017-08-09,"12:45:00",-2.6,31,135,"3DR Iris+ (TeamShrub)","Sequoia #1","Clear sky (0)",""
"Site 1 - Collinson Head","Dryas-Vetch Tundra",2016-06-28,"21:09:00",5.83,23,276,"Tarot 680 Pro","Sequoia #1","clear",""
"Site 1 - Collinson Head","Dryas-Vetch Tundra",2016-07-23,"21:05:00",5.71,20,273,"Tarot 680 Pro","Sequoia #1","partially cloudy",""
"Site 1 - Collinson Head","Dryas-Vetch Tundra",2016-07-29,"14:20:00",-1.03,38,161,"Tarot 680 Pro","Sequoia #1","continous cloud",""
"Site 1 - Collinson Head","Dryas-Vetch Tundra",2016-07-30,"17:11:00",1.82,36,213,"Tarot 680 Pro","Sequoia #1","partially cloudy","No Calibration"
