"Area Name","Vegetation Type","Date"
"Area 1 - Collinson Head","Tussock Sedge Tundra",2016-05-07
"Area 1 - Collinson Head","Tussock Sedge Tundra",2016-05-08
"Area 1 - Collinson Head","Tussock Sedge Tundra",2016-06-13
"Area 1 - Collinson Head","Tussock Sedge Tundra",2016-07-01
"Area 1 - Collinson Head","Tussock Sedge Tundra",2016-07-15
"Area 1 - Collinson Head","Tussock Sedge Tundra",2016-08-07
"Area 1 - Collinson Head","Tussock Sedge Tundra",2016-08-21
"Area 1 - Collinson Head","Tussock Sedge Tundra",2016-09-08
"Area 1 - Collinson Head","Tussock Sedge Tundra",2016-09-17
"Area 1 - Collinson Head","Tussock Sedge Tundra",2017-06-30
"Area 1 - Collinson Head","Tussock Sedge Tundra",2017-07-12
"Area 1 - Collinson Head","Tussock Sedge Tundra",2017-07-28
"Area 1 - Collinson Head","Tussock Sedge Tundra",2017-09-12
"Area 1 - Collinson Head","Tussock Sedge Tundra",2017-09-18
"Area 1 - Collinson Head","Dryas-Vetch Tundra",2016-05-07
"Area 1 - Collinson Head","Dryas-Vetch Tundra",2016-05-08
"Area 1 - Collinson Head","Dryas-Vetch Tundra",2016-06-13
"Area 1 - Collinson Head","Dryas-Vetch Tundra",2016-07-01
"Area 1 - Collinson Head","Dryas-Vetch Tundra",2016-07-15
"Area 1 - Collinson Head","Dryas-Vetch Tundra",2016-08-07
"Area 1 - Collinson Head","Dryas-Vetch Tundra",2016-08-21
"Area 1 - Collinson Head","Dryas-Vetch Tundra",2016-09-08
"Area 1 - Collinson Head","Dryas-Vetch Tundra",2016-09-17
"Area 1 - Collinson Head","Dryas-Vetch Tundra",2017-06-30
"Area 1 - Collinson Head","Dryas-Vetch Tundra",2017-07-12
"Area 1 - Collinson Head","Dryas-Vetch Tundra",2017-07-28
"Area 1 - Collinson Head","Dryas-Vetch Tundra",2017-09-12
"Area 1 - Collinson Head","Dryas-Vetch Tundra",2017-09-18
"Area 2 - Bowhead Ridge","Tussock Sedge Tundra",2016-05-07
"Area 2 - Bowhead Ridge","Tussock Sedge Tundra",2016-05-08
"Area 2 - Bowhead Ridge","Tussock Sedge Tundra",2016-06-24
"Area 2 - Bowhead Ridge","Tussock Sedge Tundra",2016-07-01
"Area 2 - Bowhead Ridge","Tussock Sedge Tundra",2016-07-15
"Area 2 - Bowhead Ridge","Tussock Sedge Tundra",2016-08-07
"Area 2 - Bowhead Ridge","Tussock Sedge Tundra",2016-08-21
"Area 2 - Bowhead Ridge","Tussock Sedge Tundra",2016-09-01
"Area 2 - Bowhead Ridge","Tussock Sedge Tundra",2016-09-17
"Area 2 - Bowhead Ridge","Tussock Sedge Tundra",2017-05-01
"Area 2 - Bowhead Ridge","Tussock Sedge Tundra",2017-06-30
"Area 2 - Bowhead Ridge","Tussock Sedge Tundra",2017-07-12
"Area 2 - Bowhead Ridge","Tussock Sedge Tundra",2017-08-05
"Area 2 - Bowhead Ridge","Tussock Sedge Tundra",2017-08-28
"Area 2 - Bowhead Ridge","Tussock Sedge Tundra",2017-09-12
"Area 2 - Bowhead Ridge","Tussock Sedge Tundra",2017-09-18
"Area 2 - Bowhead Ridge","Dryas-Vetch Tundra",2016-05-07
"Area 2 - Bowhead Ridge","Dryas-Vetch Tundra",2016-05-10
"Area 2 - Bowhead Ridge","Dryas-Vetch Tundra",2016-06-24
"Area 2 - Bowhead Ridge","Dryas-Vetch Tundra",2016-07-01
"Area 2 - Bowhead Ridge","Dryas-Vetch Tundra",2016-07-15
"Area 2 - Bowhead Ridge","Dryas-Vetch Tundra",2016-08-01
"Area 2 - Bowhead Ridge","Dryas-Vetch Tundra",2016-09-01
"Area 2 - Bowhead Ridge","Dryas-Vetch Tundra",2016-09-17
"Area 2 - Bowhead Ridge","Dryas-Vetch Tundra",2017-06-30
"Area 2 - Bowhead Ridge","Dryas-Vetch Tundra",2017-07-12
"Area 2 - Bowhead Ridge","Dryas-Vetch Tundra",2017-08-05
"Area 2 - Bowhead Ridge","Dryas-Vetch Tundra",2017-08-28
"Area 2 - Bowhead Ridge","Dryas-Vetch Tundra",2017-09-18
"Area 3 - Hawk Valley","Tussock Sedge Tundra",2017-06-30
"Area 3 - Hawk Valley","Tussock Sedge Tundra",2017-07-12
"Area 3 - Hawk Valley","Tussock Sedge Tundra",2017-08-05
"Area 3 - Hawk Valley","Tussock Sedge Tundra",2017-08-28
"Area 3 - Hawk Valley","Tussock Sedge Tundra",2017-09-12
"Area 3 - Hawk Valley","Tussock Sedge Tundra",2017-09-18
"Area 3 - Hawk Valley","Dryas-Vetch Tundra",2017-06-30
"Area 3 - Hawk Valley","Dryas-Vetch Tundra",2017-07-12
"Area 3 - Hawk Valley","Dryas-Vetch Tundra",2017-07-28
"Area 3 - Hawk Valley","Dryas-Vetch Tundra",2017-08-22
"Area 3 - Hawk Valley","Dryas-Vetch Tundra",2017-09-12
"Area 3 - Hawk Valley","Dryas-Vetch Tundra",2017-09-18
"Area 4 - Hawk Ridge","Tussock Sedge Tundra",2017-06-30
"Area 4 - Hawk Ridge","Tussock Sedge Tundra",2017-07-12
"Area 4 - Hawk Ridge","Tussock Sedge Tundra",2017-08-05
"Area 4 - Hawk Ridge","Tussock Sedge Tundra",2017-08-28
"Area 4 - Hawk Ridge","Tussock Sedge Tundra",2017-09-12
"Area 4 - Hawk Ridge","Tussock Sedge Tundra",2017-09-18
"Area 4 - Hawk Ridge","Dryas-Vetch Tundra",2017-06-30
"Area 4 - Hawk Ridge","Dryas-Vetch Tundra",2017-07-12
"Area 4 - Hawk Ridge","Dryas-Vetch Tundra",2017-08-05
"Area 4 - Hawk Ridge","Dryas-Vetch Tundra",2017-08-28
"Area 4 - Hawk Ridge","Dryas-Vetch Tundra",2017-09-12
"Area 4 - Hawk Ridge","Dryas-Vetch Tundra",2017-09-18
