"sensor","date"
"Sentinel 2A",2016-05-10
"Sentinel 2A",2016-05-17
"Sentinel 2A",2016-05-30
"Sentinel 2A",2016-06-06
"Sentinel 2A",2016-06-13
"Sentinel 2A",2016-06-24
"Sentinel 2A",2016-07-14
"Sentinel 2A",2016-09-02
"Sentinel 2A",2016-09-11
"Sentinel 2A",2017-06-14
"Sentinel 2A",2017-06-18
"Sentinel 2A",2017-06-28
"Sentinel 2A",2017-07-01
"Sentinel 2A",2017-07-04
"Sentinel 2A",2017-07-08
"Sentinel 2A",2017-07-17
"Sentinel 2A",2017-07-28
"Sentinel 2A",2017-09-16
"Sentinel 2B",2017-06-29
"Sentinel 2B",2017-07-03
"Sentinel 2B",2017-07-12
"Sentinel 2B",2017-07-19
"Sentinel 2B",2017-08-05
"Sentinel 2B",2017-09-01
