"Effect Name","Effect Size","Lower 95% CI","Upper 95% CI","Effective Sample Size","pMCMC"
" "," "," "," "," "," "
"landsat8_ndvi ~ drone_ndvi + diff + veg_type + diff:drone_ndvi + veg_type:drone_ndvi"," "," "," "," "," "
" "," "," "," "," "," "
"Effect Name","Effect Size","Lower 95% CI","Upper 95% CI","Effective Sample Size","pMCMC"
"(Intercept)"," 0.2110"," 0.1197"," 0.2890","4700","0.0002"
"drone_ndvi"," 0.6644"," 0.5275"," 0.8140","4700","0.0002"
"diff","-0.0769","-0.1209","-0.0382","4700","0.0009"
"veg_typeKOM"," 0.0389","-0.0328"," 0.1114","4885","0.2911"
"drone_ndvi:diff"," 0.1566"," 0.0931"," 0.2295","4700","0.0002"
"drone_ndvi:veg_typeKOM","-0.0400","-0.1596"," 0.0892","4839","0.5140"
" "," "," "," "," "," "
"units","0.00146","0.00116","0.00175","4907"," "
