site_veg,year,drone_doy,phen_doy,key_phen,key_drone
PS1_HER,2016,NA,177,NA,NA
PS1_HER,2016,180,180,180,180
PS1_HER,2016,191,191,191,191
PS1_HER,2016,NA,196,NA,NA
PS1_HER,2016,205,205,205,205
PS1_HER,2016,211,211,211,211
PS1_HER,2016,212,212,212,212
PS1_HER,2016,216,216,216,216
PS1_HER,2016,NA,226,NA,NA
PS1_HER,2017,175,175,175,175
PS1_HER,2017,177,179,179,177
PS1_HER,2017,NA,183,NA,NA
PS1_HER,2017,NA,188,NA,NA
PS1_HER,2017,190,190,190,190
PS1_HER,2017,192,195,195,192
PS1_HER,2017,NA,198,NA,NA
PS1_HER,2017,207,207,207,207
PS1_HER,2017,221,221,221,221
PS1_KOM,2016,NA,177,NA,NA
PS1_KOM,2016,180,180,180,180
PS1_KOM,2016,NA,196,NA,NA
PS1_KOM,2016,205,205,205,205
PS1_KOM,2016,211,211,211,211
PS1_KOM,2016,212,212,212,212
PS1_KOM,2016,216,216,216,216
PS1_KOM,2016,NA,226,NA,NA
PS1_KOM,2017,NA,176,NA,NA
PS1_KOM,2017,NA,179,NA,NA
PS1_KOM,2017,NA,183,NA,NA
PS1_KOM,2017,NA,188,NA,NA
PS1_KOM,2017,NA,190,NA,NA
PS1_KOM,2017,NA,195,NA,NA
PS1_KOM,2017,NA,198,NA,NA
PS1_KOM,2017,NA,207,NA,NA
PS1_KOM,2017,NA,221,NA,NA
PS2_HER,2016,NA,177,NA,NA
PS2_HER,2016,182,183,183,182
PS2_HER,2016,NA,199,NA,NA
PS2_HER,2016,207,207,207,207
PS2_HER,2016,212,212,212,212
PS2_HER,2016,218,218,218,218
PS2_HER,2016,NA,226,NA,NA
PS2_HER,2017,177,176,176,177
PS2_HER,2017,NA,183,NA,NA
PS2_HER,2017,NA,188,NA,NA
PS2_HER,2017,192,190,190,192
PS2_HER,2017,NA,195,NA,NA
PS2_HER,2017,198,198,198,198
PS2_HER,2017,207,207,207,207
PS2_HER,2017,NA,209,NA,NA
PS2_HER,2017,219,NA,NA,NA
PS2_HER,2017,221,221,221,221
PS2_KOM,2016,NA,177,NA,NA
PS2_KOM,2016,182,183,183,182
PS2_KOM,2016,NA,199,NA,NA
PS2_KOM,2016,207,207,207,207
PS2_KOM,2016,212,212,212,212
PS2_KOM,2016,218,218,218,218
PS2_KOM,2016,NA,226,NA,NA
PS2_KOM,2017,177,176,176,177
PS2_KOM,2017,NA,183,NA,NA
PS2_KOM,2017,NA,188,NA,NA
PS2_KOM,2017,NA,190,NA,NA
PS2_KOM,2017,NA,195,NA,NA
PS2_KOM,2017,198,198,198,198
PS2_KOM,2017,207,207,207,207
PS2_KOM,2017,221,221,221,221
PS3_HER,2017,NA,94,NA,NA
PS3_HER,2017,177,176,176,177
PS3_HER,2017,NA,180,NA,NA
PS3_HER,2017,187,187,187,187
PS3_HER,2017,191,191,191,191
PS3_HER,2017,NA,195,NA,NA
PS3_HER,2017,NA,198,NA,NA
PS3_HER,2017,NA,207,NA,NA
PS3_HER,2017,219,219,219,219
PS3_HER,2017,NA,221,NA,NA
PS3_KOM,2017,177,176,176,177
PS3_KOM,2017,NA,180,NA,NA
PS3_KOM,2017,NA,185,NA,NA
PS3_KOM,2017,NA,187,NA,NA
PS3_KOM,2017,191,191,191,191
PS3_KOM,2017,NA,195,NA,NA
PS3_KOM,2017,NA,198,NA,NA
PS3_KOM,2017,207,207,207,207
PS3_KOM,2017,219,219,219,219
PS3_KOM,2017,221,221,221,221
PS4_HER,2017,177,176,176,177
PS4_HER,2017,NA,180,NA,NA
PS4_HER,2017,NA,185,NA,NA
PS4_HER,2017,187,187,187,187
PS4_HER,2017,191,191,191,191
PS4_HER,2017,NA,195,NA,NA
PS4_HER,2017,NA,198,NA,NA
PS4_HER,2017,207,207,207,207
PS4_HER,2017,219,219,219,219
PS4_HER,2017,NA,221,NA,NA
PS4_KOM,2017,177,176,176,177
PS4_KOM,2017,NA,180,NA,NA
PS4_KOM,2017,NA,185,NA,NA
PS4_KOM,2017,NA,188,NA,NA
PS4_KOM,2017,NA,191,NA,NA
PS4_KOM,2017,NA,195,NA,NA
PS4_KOM,2017,198,198,198,198
PS4_KOM,2017,209,207,207,209
PS4_KOM,2017,219,219,219,219
PS4_KOM,2017,NA,221,NA,NA
