point_id,site_veg,corner,Easting,Northing
PS1 HER PHENOLOGY PLOT C1,PS1_HER,C1,583149.236,7719997.514
PS1 HER PHENOLOGY PLOT C2,PS1_HER,C2,583147.167,7719997.292
PS1 HER PHENOLOGY PLOT C3,PS1_HER,C3,583147.340,7719995.261
PS1 HER PHENOLOGY PLOT C4,PS1_HER,C4,583149.453,7719995.473
PS1 KOM PHENOLOGY PLOT C1,PS1_KOM,C1,583053.184,7720010.028
PS1 KOM PHENOLOGY PLOT C2,PS1_KOM,C2,583051.427,7720008.970
PS1 KOM PHENOLOGY PLOT C3,PS1_KOM,C3,583052.474,7720007.284
PS1 KOM PHENOLOGY PLOT C4,PS1_KOM,C4,583054.291,7720008.330
PS2 HER PHENOLOGY PLOT C1,PS2_HER,C1,582877.020,7720565.213
PS2 HER PHENOLOGY PLOT C2,PS2_HER,C2,582875.403,7720563.998
PS2 HER PHENOLOGY PLOT C3,PS2_HER,C3,582876.636,7720562.347
PS2 HER PHENOLOGY PLOT C4,PS2_HER,C4,582878.231,7720563.616
PS2 KOM PHENOLOGY PLOT C1,PS2_KOM,C1,582890.095,7720753.252
PS2 KOM PHENOLOGY PLOT C2,PS2_KOM,C2,582888.898,7720751.585
PS2 KOM PHENOLOGY PLOT C3,PS2_KOM,C3,582890.639,7720750.634
PS2 KOM PHENOLOGY PLOT C4,PS2_KOM,C4,582891.893,7720752.251
PS3 HER PHENOLOGY PLOT C1,PS3_HER,C1,580975.094,7720856.551
PS3 HER PHENOLOGY PLOT C2,PS3_HER,C2,580973.968,7720854.808
PS3 HER PHENOLOGY PLOT C3,PS3_HER,C3,580975.716,7720853.779
PS3 HER PHENOLOGY PLOT C4,PS3_HER,C4,580976.796,7720855.544
PS3 KOM PHENOLOGY PLOT C1,PS3_KOM,C1,581073.693,7720743.318
PS3 KOM PHENOLOGY PLOT C2,PS3_KOM,C2,581071.884,7720742.275
PS3 KOM PHENOLOGY PLOT C3,PS3_KOM,C3,581072.900,7720740.439
PS3 KOM PHENOLOGY PLOT C4,PS3_KOM,C4,581074.681,7720741.535
PS4 HER PHENOLOGY PLOT C1,PS4_HER,C1,580778.931,7721384.612
PS4 HER PHENOLOGY PLOT C2,PS4_HER,C2,580776.929,7721384.237
PS4 HER PHENOLOGY PLOT C3,PS4_HER,C3,580777.141,7721382.158
PS4 HER PHENOLOGY PLOT C4,PS4_HER,C4,580779.145,7721382.605
PS4 KOM PHENOLOGY PLOT C1,PS4_KOM,C1,580645.169,7721242.750
PS4 KOM PHENOLOGY PLOT C2,PS4_KOM,C2,580643.345,7721241.799
PS4 KOM PHENOLOGY PLOT C3,PS4_KOM,C3,580644.125,7721239.966
PS4 KOM PHENOLOGY PLOT C4,PS4_KOM,C4,580646.059,7721240.859
