"Species","Time-Series","r","p-value"
"Arctagrostis latifolia","PS1_HER_2016",0.49,0.356
"Arctagrostis latifolia","PS1_HER_2017",0.77,0.103
"Arctagrostis latifolia","PS1_KOM_2016",0.1,0.95
"Arctagrostis latifolia","PS2_HER_2016",1,0.083
"Arctagrostis latifolia","PS2_HER_2017",1,0.017
"Arctagrostis latifolia","PS2_KOM_2016",0.4,0.75
"Arctagrostis latifolia","PS2_KOM_2017",1,0.083
"Arctagrostis latifolia","PS3_HER_2017",0.4,0.75
"Arctagrostis latifolia","PS3_KOM_2017",0.7,0.233
"Arctagrostis latifolia","PS4_HER_2017",0.7,0.233
"Arctagrostis latifolia","PS4_KOM_2017",0.8,0.333
"Dryas integrifolia","PS1_HER_2016",-0.31,0.564
"Dryas integrifolia","PS1_HER_2017",0.03,1
"Dryas integrifolia","PS1_KOM_2016",0,1
"Dryas integrifolia","PS2_HER_2016",1,0.083
"Dryas integrifolia","PS2_HER_2017",0.9,0.083
"Dryas integrifolia","PS2_KOM_2016",1,0.083
"Dryas integrifolia","PS2_KOM_2017",1,0.083
"Dryas integrifolia","PS3_HER_2017",-1,0.083
"Dryas integrifolia","PS3_KOM_2017",0.3,0.683
"Dryas integrifolia","PS4_HER_2017",-0.5,0.45
"Dryas integrifolia","PS4_KOM_2017",0,1
"Eriophorum vaginatum","PS1_HER_2016",0.09,0.919
"Eriophorum vaginatum","PS1_HER_2017",0.77,0.103
"Eriophorum vaginatum","PS2_HER_2016",1,0.083
"Eriophorum vaginatum","PS2_HER_2017",0.9,0.083
"Eriophorum vaginatum","PS3_HER_2017",0.8,0.333
"Eriophorum vaginatum","PS4_HER_2017",0.7,0.233
"Salix arctica","PS1_KOM_2016",0.5,0.45
"Salix arctica","PS2_KOM_2016",0.8,0.333
"Salix arctica","PS2_KOM_2017",1,0.083
"Salix arctica","PS3_KOM_2017",0.6,0.35
"Salix arctica","PS4_KOM_2017",0.4,0.75
"Salix pulchra","PS1_HER_2016",0.94,0.017
"Salix pulchra","PS1_HER_2017",0.89,0.033
"Salix pulchra","PS2_HER_2016",0.8,0.333
"Salix pulchra","PS2_HER_2017",0.3,0.683
"Salix pulchra","PS3_HER_2017",0.4,0.75
"Salix pulchra","PS4_HER_2017",0.9,0.083
