plot,veg_type,date,observer,species,plant,stage,flower_stalk,longest_leaf,new_growth,corner,soil_moisture,active_layer,notes
PS1,HER,14/07/2017,Gergana and Isla,ARCLAT,1,P2 - Date green stem/leaves growing,NA,132,NA,NA,NA,NA,NA
PS1,HER,14/07/2017,Gergana and Isla,ARCLAT,2,P3 - Date first appearance of flower buds,311,59,NA,NA,NA,NA,NA
PS1,HER,14/07/2017,Gergana and Isla,ARCLAT,3,P2 - Date green stem/leaves growing,NA,110,NA,NA,NA,NA,NA
PS1,HER,14/07/2017,Gergana and Isla,ARCLAT,4,P2 - Date green stem/leaves growing,NA,91,NA,NA,NA,NA,NA
PS1,HER,14/07/2017,Gergana and Isla,ARCLAT,5,P2 - Date green stem/leaves growing,NA,119,NA,NA,NA,NA,NA
PS1,HER,14/07/2017,Gergana and Isla,ARCLAT,6,P2 - Date green stem/leaves growing,NA,138,NA,NA,NA,NA,NA
PS1,HER,14/07/2017,Gergana and Isla,DRYINT,1,P5 - Date first twisting of filaments on seed heads,NA,11,NA,NA,NA,NA,A few brown leaves
PS1,HER,14/07/2017,Gergana and Isla,DRYINT,2,P5 - Date first twisting of filaments on seed heads,NA,13,NA,NA,NA,NA,NA
PS1,HER,14/07/2017,Gergana and Isla,DRYINT,3,P5 - Date first twisting of filaments on seed heads,NA,18,NA,NA,NA,NA,NA
PS1,HER,14/07/2017,Gergana and Isla,DRYINT,4,P5 - Date first twisting of filaments on seed heads,NA,8,NA,NA,NA,NA,NA
PS1,HER,14/07/2017,Gergana and Isla,DRYINT,5,P1 - Date snow free,NA,15,NA,NA,NA,NA,NA
PS1,HER,14/07/2017,Gergana and Isla,DRYINT,6,P3 - Date first open flower,NA,14,NA,NA,NA,NA,NA
PS1,HER,14/07/2017,Gergana and Isla,ERIVAG,1,P6 - Date first seeds dispersed,NA,152,NA,NA,NA,NA,NA
PS1,HER,14/07/2017,Gergana and Isla,ERIVAG,2,P6 - Date first seeds dispersed,NA,117,NA,NA,NA,NA,NA
PS1,HER,14/07/2017,Gergana and Isla,ERIVAG,3,P5 - Date flowers fluffy,NA,155,NA,NA,NA,NA,NA
PS1,HER,14/07/2017,Gergana and Isla,ERIVAG,4,P5 - Date flowers fluffy,NA,128,NA,NA,NA,NA,NA
PS1,HER,14/07/2017,Gergana and Isla,ERIVAG,5,P6 - Date first seeds dispersed,NA,132,NA,NA,NA,NA,NA
PS1,HER,14/07/2017,Gergana and Isla,ERIVAG,6,P6 - Date first seeds dispersed,NA,127,NA,NA,NA,NA,NA
PS1,HER,14/07/2017,Gergana and Isla,SALPUL,1,P2 - Date first leaf bud burst,NA,32,16,NA,NA,NA,NA
PS1,HER,14/07/2017,Gergana and Isla,SALPUL,2,P2 - Date first leaf bud burst,NA,32,25,NA,NA,NA,NA
PS1,HER,14/07/2017,Gergana and Isla,SALPUL,3,P2 - Date first leaf bud burst,NA,41,21,NA,NA,NA,NA
PS1,HER,14/07/2017,Gergana and Isla,SALPUL,4,P2 - Date first leaf bud burst,NA,35,25,NA,NA,NA,NA
PS1,HER,14/07/2017,Gergana and Isla,SALPUL,5,P2 - Date first leaf bud burst,NA,23,13,NA,NA,NA,NA
PS1,HER,14/07/2017,Gergana and Isla,SALPUL,6,P2 - Date first leaf bud burst,NA,56,109,NA,NA,NA,NA
PS1,HER,14/07/2017,Gergana and Isla,NA,NA,NA,NA,NA,NA,NE,44.6,47.5,NA
PS1,HER,14/07/2017,Gergana and Isla,NA,NA,NA,NA,NA,NA,NW,33.8,39.5,NA
PS1,HER,14/07/2017,Gergana and Isla,NA,NA,NA,NA,NA,NA,SW,38.7,31.7,NA
PS1,HER,14/07/2017,Gergana and Isla,NA,NA,NA,NA,NA,NA,SE,21,36.1,NA
PS1,HER,17/07/2017,Gergana,ARCLAT,1,P2 - Date green stem/leaves growing,NA,133,NA,NA,NA,NA,NA
PS1,HER,17/07/2017,Gergana,ARCLAT,2,P3 - Date first appearance of flower buds,136,60,NA,NA,NA,NA,NA
PS1,HER,17/07/2017,Gergana,ARCLAT,3,P2 - Date green stem/leaves growing,NA,114,NA,NA,NA,NA,NA
PS1,HER,17/07/2017,Gergana,ARCLAT,4,P2 - Date green stem/leaves growing,NA,88,NA,NA,NA,NA,NA
PS1,HER,17/07/2017,Gergana,ARCLAT,5,P2 - Date green stem/leaves growing,NA,139,NA,NA,NA,NA,NA
PS1,HER,17/07/2017,Gergana,ARCLAT,6,P2 - Date green stem/leaves growing,NA,138,NA,NA,NA,NA,NA
PS1,HER,17/07/2017,Gergana,DRYINT,1,P5 - Date first twisting of filaments on seed heads,NA,14,NA,NA,NA,NA,A few brown leaves
PS1,HER,17/07/2017,Gergana,DRYINT,2,P5 - Date first twisting of filaments on seed heads,NA,12,NA,NA,NA,NA,NA
PS1,HER,17/07/2017,Gergana,DRYINT,3,P5 - Date first twisting of filaments on seed heads,NA,20,NA,NA,NA,NA,NA
PS1,HER,17/07/2017,Gergana,DRYINT,4,P5 - Date first twisting of filaments on seed heads,NA,8,NA,NA,NA,NA,NA
PS1,HER,17/07/2017,Gergana,DRYINT,5,P1 - Date snow free,NA,16,NA,NA,NA,NA,NA
PS1,HER,17/07/2017,Gergana,DRYINT,6,P5 - Date first twisting of filaments on seed heads,NA,14,NA,NA,NA,NA,NA
PS1,HER,17/07/2017,Gergana,ERIVAG,1,P6 - Date first seeds dispersed,NA,141,NA,NA,NA,NA,NA
PS1,HER,17/07/2017,Gergana,ERIVAG,2,P6 - Date first seeds dispersed,NA,123,NA,NA,NA,NA,NA
PS1,HER,17/07/2017,Gergana,ERIVAG,3,P6 - Date first seeds dispersed,NA,124,NA,NA,NA,NA,NA
PS1,HER,17/07/2017,Gergana,ERIVAG,4,P5 - Date flowers fluffy,NA,155,NA,NA,NA,NA,NA
PS1,HER,17/07/2017,Gergana,ERIVAG,5,P6 - Date first seeds dispersed,NA,118,NA,NA,NA,NA,NA
