"","flight_id","site_veg","site_name","veg_type","file_path","object_name","sensor","date","mean_NDVI"
"1","LC080660112016052001T1-SC20200818085316","PS1_HER","PS1","HER","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080660112016052001T1-SC20200818085316/LC08_L1TP_066011_20160520_20170223_01_T1_ndvi.tif","LC080660112016052001T1-SC20200818085316","Landsat8","2016-05-20",0.288662132620811
"2","LC080660112016052001T1-SC20200818085316","PS1_KOM","PS1","KOM","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080660112016052001T1-SC20200818085316/LC08_L1TP_066011_20160520_20170223_01_T1_ndvi.tif","LC080660112016052001T1-SC20200818085316","Landsat8","2016-05-20",0.298778448786054
"3","LC080660112016052001T1-SC20200818085316","PS2_HER","PS2","HER","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080660112016052001T1-SC20200818085316/LC08_L1TP_066011_20160520_20170223_01_T1_ndvi.tif","LC080660112016052001T1-SC20200818085316","Landsat8","2016-05-20",0.25049323712786
"4","LC080660112016052001T1-SC20200818085316","PS2_KOM","PS2","KOM","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080660112016052001T1-SC20200818085316/LC08_L1TP_066011_20160520_20170223_01_T1_ndvi.tif","LC080660112016052001T1-SC20200818085316","Landsat8","2016-05-20",0.293320217480262
"5","LC080660112016052001T1-SC20200818085316","PS3_HER","PS3","HER","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080660112016052001T1-SC20200818085316/LC08_L1TP_066011_20160520_20170223_01_T1_ndvi.tif","LC080660112016052001T1-SC20200818085316","Landsat8","2016-05-20",0.218245339062479
"6","LC080660112016052001T1-SC20200818085316","PS3_KOM","PS3","KOM","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080660112016052001T1-SC20200818085316/LC08_L1TP_066011_20160520_20170223_01_T1_ndvi.tif","LC080660112016052001T1-SC20200818085316","Landsat8","2016-05-20",-0.0151905842125416
"7","LC080660112016052001T1-SC20200818085316","PS4_HER","PS4","HER","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080660112016052001T1-SC20200818085316/LC08_L1TP_066011_20160520_20170223_01_T1_ndvi.tif","LC080660112016052001T1-SC20200818085316","Landsat8","2016-05-20",0.148826930051049
"8","LC080660112016052001T1-SC20200818085316","PS4_KOM","PS4","KOM","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080660112016052001T1-SC20200818085316/LC08_L1TP_066011_20160520_20170223_01_T1_ndvi.tif","LC080660112016052001T1-SC20200818085316","Landsat8","2016-05-20",0.158191501059466
"9","LC080660112016080801T1-SC20200818085417","PS1_HER","PS1","HER","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080660112016080801T1-SC20200818085417/LC08_L1TP_066011_20160808_20170222_01_T1_ndvi.tif","LC080660112016080801T1-SC20200818085417","Landsat8","2016-08-08",0.672658675909042
"10","LC080660112016080801T1-SC20200818085417","PS1_KOM","PS1","KOM","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080660112016080801T1-SC20200818085417/LC08_L1TP_066011_20160808_20170222_01_T1_ndvi.tif","LC080660112016080801T1-SC20200818085417","Landsat8","2016-08-08",0.693991592952183
"11","LC080660112016080801T1-SC20200818085417","PS2_HER","PS2","HER","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080660112016080801T1-SC20200818085417/LC08_L1TP_066011_20160808_20170222_01_T1_ndvi.tif","LC080660112016080801T1-SC20200818085417","Landsat8","2016-08-08",0.675534690419833
"12","LC080660112016080801T1-SC20200818085417","PS2_KOM","PS2","KOM","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080660112016080801T1-SC20200818085417/LC08_L1TP_066011_20160808_20170222_01_T1_ndvi.tif","LC080660112016080801T1-SC20200818085417","Landsat8","2016-08-08",0.662566065788269
"13","LC080660112016080801T1-SC20200818085417","PS3_HER","PS3","HER","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080660112016080801T1-SC20200818085417/LC08_L1TP_066011_20160808_20170222_01_T1_ndvi.tif","LC080660112016080801T1-SC20200818085417","Landsat8","2016-08-08",0.645723475350274
"14","LC080660112016080801T1-SC20200818085417","PS3_KOM","PS3","KOM","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080660112016080801T1-SC20200818085417/LC08_L1TP_066011_20160808_20170222_01_T1_ndvi.tif","LC080660112016080801T1-SC20200818085417","Landsat8","2016-08-08",0.6991295337677
"15","LC080660112016080801T1-SC20200818085417","PS4_HER","PS4","HER","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080660112016080801T1-SC20200818085417/LC08_L1TP_066011_20160808_20170222_01_T1_ndvi.tif","LC080660112016080801T1-SC20200818085417","Landsat8","2016-08-08",0.641338874896367
"16","LC080660112016080801T1-SC20200818085417","PS4_KOM","PS4","KOM","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080660112016080801T1-SC20200818085417/LC08_L1TP_066011_20160808_20170222_01_T1_ndvi.tif","LC080660112016080801T1-SC20200818085417","Landsat8","2016-08-08",0.65562727716234
"17","LC080670112016051101T1-SC20200818085601","PS1_HER","PS1","HER","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080670112016051101T1-SC20200818085601/LC08_L1TP_067011_20160511_20170223_01_T1_ndvi.tif","LC080670112016051101T1-SC20200818085601","Landsat8","2016-05-11",-0.0793877517183622
"18","LC080670112016051101T1-SC20200818085601","PS1_KOM","PS1","KOM","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080670112016051101T1-SC20200818085601/LC08_L1TP_067011_20160511_20170223_01_T1_ndvi.tif","LC080670112016051101T1-SC20200818085601","Landsat8","2016-05-11",-0.0892617570029365
"19","LC080670112016051101T1-SC20200818085601","PS2_HER","PS2","HER","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080670112016051101T1-SC20200818085601/LC08_L1TP_067011_20160511_20170223_01_T1_ndvi.tif","LC080670112016051101T1-SC20200818085601","Landsat8","2016-05-11",-0.0900794728659093
"20","LC080670112016051101T1-SC20200818085601","PS2_KOM","PS2","KOM","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080670112016051101T1-SC20200818085601/LC08_L1TP_067011_20160511_20170223_01_T1_ndvi.tif","LC080670112016051101T1-SC20200818085601","Landsat8","2016-05-11",-0.0926435304184755
"21","LC080670112016051101T1-SC20200818085601","PS3_HER","PS3","HER","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080670112016051101T1-SC20200818085601/LC08_L1TP_067011_20160511_20170223_01_T1_ndvi.tif","LC080670112016051101T1-SC20200818085601","Landsat8","2016-05-11",-0.0952328918501735
"22","LC080670112016051101T1-SC20200818085601","PS3_KOM","PS3","KOM","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080670112016051101T1-SC20200818085601/LC08_L1TP_067011_20160511_20170223_01_T1_ndvi.tif","LC080670112016051101T1-SC20200818085601","Landsat8","2016-05-11",-0.0947448741644621
"23","LC080670112016051101T1-SC20200818085601","PS4_HER","PS4","HER","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080670112016051101T1-SC20200818085601/LC08_L1TP_067011_20160511_20170223_01_T1_ndvi.tif","LC080670112016051101T1-SC20200818085601","Landsat8","2016-05-11",-0.0943389674648643
"24","LC080670112016051101T1-SC20200818085601","PS4_KOM","PS4","KOM","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080670112016051101T1-SC20200818085601/LC08_L1TP_067011_20160511_20170223_01_T1_ndvi.tif","LC080670112016051101T1-SC20200818085601","Landsat8","2016-05-11",-0.0937598212622106
"25","LC080670112016062801T1-SC20200818085504","PS1_HER","PS1","HER","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080670112016062801T1-SC20200818085504/LC08_L1TP_067011_20160628_20170222_01_T1_ndvi.tif","LC080670112016062801T1-SC20200818085504","Landsat8","2016-06-28",0.572015359997749
"26","LC080670112016062801T1-SC20200818085504","PS1_KOM","PS1","KOM","/Volumes/BowheadRdge/phen_time_series/L8/2016/LC080670112016062801T1-SC20200818085504/LC08_L1TP_067011_20160628_20170222_01_T1_ndvi.tif","LC080670112016062801T1-SC20200818085504","Landsat8","2016-06-28",0.597540140151978
