year,id,longitude,latitude,DOY,EVI,NDVI,SummaryQA,DetailedQA
2008,_02_02,-138.8671911,69.57564165,38,-654,-413,2,20757
2009,_02_02,-138.8671911,69.57564165,38,-865,-555,3,4370
2013,_02_02,-138.8671911,69.57564165,38,-894,-588,3,4370
2008,_02_02,-138.8649453,69.57564165,38,-654,-413,2,20757
2009,_02_02,-138.8649453,69.57564165,38,-865,-555,3,4370
2013,_02_02,-138.8649453,69.57564165,38,-894,-588,3,4370
2007,_02_02,-138.8694369,69.58013323,38,-1511,-939,3,20498
2008,_02_02,-138.8694369,69.58013323,38,-700,-442,3,4370
2009,_02_02,-138.8694369,69.58013323,38,-886,-575,3,4370
2009,_02_02,-138.9165984,69.58237901,38,-1062,-691,3,4370
2009,_02_02,-138.8716827,69.58237901,38,-912,-592,3,4370
2005,_02_02,-138.9233358,69.58911638,38,-1645,-1603,2,20497
2017,_02_02,-138.8671911,69.57564165,39,-601,-379,2,20757
2017,_02_02,-138.8649453,69.57564165,39,-601,-379,2,20757
2014,_02_02,-138.8694369,69.58013323,39,-1444,-1048,3,4110
2010,_02_02,-138.9188442,69.5846248,39,-1906,-1506,NA,53275
2014,_02_02,-138.9188442,69.5846248,39,NA,NA,3,4110
2015,_02_02,-138.9188442,69.5846248,39,NA,-1623,NA,53275
2010,_02_02,-138.9278274,69.58687059,39,-1906,-1506,NA,53275
2014,_02_02,-138.9278274,69.58687059,39,NA,NA,3,4110
2015,_02_02,-138.9278274,69.58687059,39,NA,-1623,NA,53275
2010,_02_02,-138.9233358,69.58911638,39,-1754,-1451,3,34838
2014,_02_02,-138.9233358,69.58911638,39,-1528,-994,3,4110
2004,_02_02,-138.8671911,69.57564165,40,-1046,-671,2,20757
2012,_02_02,-138.8671911,69.57564165,40,-629,-427,3,20498
2004,_02_02,-138.8649453,69.57564165,40,-1046,-671,2,20757
2012,_02_02,-138.8649453,69.57564165,40,-629,-427,3,20498
2004,_02_02,-138.8694369,69.58013323,40,-1051,-656,2,20757
2010,_02_02,-138.8694369,69.58013323,40,-1364,-866,3,4370
2012,_02_02,-138.8694369,69.58013323,40,-668,-444,3,20498
2010,_02_02,-138.9165984,69.58237901,40,-1472,-949,3,4370
2012,_02_02,-138.9165984,69.58237901,40,-703,-448,3,20498
2006,_02_02,-138.9188442,69.5846248,40,-1525,-1199,3,20498
2012,_02_02,-138.9188442,69.5846248,40,-656,-401,3,20498
2006,_02_02,-138.9278274,69.58687059,40,-1525,-1199,3,20498
2012,_02_02,-138.9278274,69.58687059,40,-656,-401,3,20498
2008,_02_02,-138.9233358,69.58911638,40,-869,-597,2,18449
2012,_02_02,-138.9233358,69.58911638,40,-664,-422,3,20498
2002,_02_02,-138.8671911,69.57564165,41,-1328,-912,3,4110
2015,_02_02,-138.8671911,69.57564165,41,-559,-387,2,20757
2002,_02_02,-138.8649453,69.57564165,41,-1328,-912,3,4110
2015,_02_02,-138.8649453,69.57564165,41,-559,-387,2,20757
2002,_02_02,-138.8694369,69.58013323,41,-1359,-951,3,4110
2015,_02_02,-138.8694369,69.58013323,41,-885,-631,2,20757
2002,_02_02,-138.9165984,69.58237901,41,-1373,-945,3,4110
2005,_02_02,-138.9165984,69.58237901,41,-746,-488,3,37146
2008,_02_02,-138.9165984,69.58237901,41,-1177,-760,3,4370
2015,_02_02,-138.9165984,69.58237901,41,-718,-486,2,20757
2002,_02_02,-138.9188442,69.5846248,41,-1398,-968,3,4110
2008,_02_02,-138.9188442,69.5846248,41,-1196,-777,3,4370
2002,_02_02,-138.9278274,69.58687059,41,-1398,-968,3,4110
2008,_02_02,-138.9278274,69.58687059,41,-1196,-777,3,4370
2004,_02_02,-138.9165984,69.58237901,42,-1295,-867,3,4370
2010,_02_02,-138.8716827,69.58237901,42,-1520,-1057,3,4370
2004,_02_02,-138.9188442,69.5846248,42,-1431,-968,3,4370
2005,_02_02,-138.9188442,69.5846248,42,-1155,-823,3,37150
2011,_02_02,-138.9188442,69.5846248,42,-1452,-1049,3,4110
2004,_02_02,-138.9278274,69.58687059,42,-1431,-968,3,4370
2005,_02_02,-138.9278274,69.58687059,42,-1155,-823,3,37150
2011,_02_02,-138.9278274,69.58687059,42,-1452,-1049,3,4110
2004,_02_02,-138.9233358,69.58911638,42,-1541,-1142,3,4110
2010,_02_02,-138.8671911,69.57564165,43,-1193,-844,3,4370
2010,_02_02,-138.8649453,69.57564165,43,-1193,-844,3,4370
2005,_02_02,-138.8716827,69.58237901,43,-1735,-1173,2,53537
2008,_02_02,-138.8716827,69.58237901,43,-760,-480,3,4370
2017,_02_02,-138.8716827,69.58237901,43,-1036,-702,2,20757
2005,_02_02,-138.8671911,69.57564165,44,-407,-249,3,37146
2005,_02_02,-138.8649453,69.57564165,44,-407,-249,3,37146
2005,_02_02,-138.8694369,69.58013323,44,-519,-326,3,37146
2011,_02_02,-138.8716827,69.58237901,44,NA,NA,3,4370
2012,_02_02,-138.8716827,69.58237901,44,-1045,-746,3,4370
2016,_02_02,-138.8716827,69.58237901,44,-1311,-878,3,4370
2013,_02_02,-138.9188442,69.5846248,44,-435,-269,3,4370
2013,_02_02,-138.9278274,69.58687059,44,-435,-269,3,4370
2016,_02_02,-138.9233358,69.58911638,44,-1394,-936,3,4110
2006,_02_02,-138.8671911,69.57564165,45,-759,-481,2,20757
2014,_02_02,-138.8671911,69.57564165,45,-976,-672,3,4370
2006,_02_02,-138.8649453,69.57564165,45,-759,-481,2,20757
2014,_02_02,-138.8649453,69.57564165,45,-976,-672,3,4370
2006,_02_02,-138.8694369,69.58013323,45,-873,-559,2,20757
2006,_02_02,-138.8716827,69.58237901,45,-1054,-716,2,20757
2015,_02_02,-138.8716827,69.58237901,45,-1237,-872,2,20757
2002,_02_02,-138.9233358,69.58911638,45,-1059,-652,3,4110
2006,_02_02,-138.9233358,69.58911638,45,-1191,-1075,3,20502
2015,_02_02,-138.9233358,69.58911638,45,-1019,-675,2,20497
2007,_02_02,-138.8671911,69.57564165,46,-797,-542,3,4370
2007,_02_02,-138.8649453,69.57564165,46,-797,-542,3,4370
2013,_02_02,-138.8694369,69.58013323,46,-665,-418,3,4370
2007,_02_02,-138.9165984,69.58237901,46,-782,-532,3,4370
2011,_02_02,-138.9165984,69.58237901,46,-856,-555,2,20757
2013,_02_02,-138.9165984,69.58237901,46,-673,-421,3,4370
2014,_02_02,-138.9165984,69.58237901,46,-1059,-710,3,4370
2002,_02_02,-138.8716827,69.58237901,46,-1033,-741,3,4370
2007,_02_02,-138.8716827,69.58237901,46,-1226,-865,2,20757
2013,_02_02,-138.8716827,69.58237901,46,-716,-457,3,4370
2007,_02_02,-138.9233358,69.58911638,46,-1512,-1127,2,20497
2013,_02_02,-138.9233358,69.58911638,46,-679,-428,3,4110
2011,_02_02,-138.8671911,69.57564165,47,-929,-595,2,20757
2011,_02_02,-138.8649453,69.57564165,47,-929,-595,2,20757
2007,_02_02,-138.9188442,69.5846248,47,-371,-228,3,4370
2007,_02_02,-138.9278274,69.58687059,47,-371,-228,3,4370
2011,_02_02,-138.9233358,69.58911638,47,NA,NA,3,4110
2001,_02_02,-138.8671911,69.57564165,48,-860,-549,2,20497
2003,_02_02,-138.8671911,69.57564165,48,-1312,-935,3,4370
2001,_02_02,-138.8649453,69.57564165,48,-860,-549,2,20497
2003,_02_02,-138.8649453,69.57564165,48,-1312,-935,3,4370
2001,_02_02,-138.8694369,69.58013323,48,-773,-489,2,20497
2003,_02_02,-138.8694369,69.58013323,48,-887,-558,3,4370
2011,_02_02,-138.8694369,69.58013323,48,-848,-547,3,37146
2017,_02_02,-138.8694369,69.58013323,48,-615,-405,2,20757
2001,_02_02,-138.9165984,69.58237901,48,-1061,-708,2,20497
2003,_02_02,-138.9165984,69.58237901,48,-1388,-995,3,4370
2006,_02_02,-138.9165984,69.58237901,48,-280,-186,3,20758
2017,_02_02,-138.9165984,69.58237901,48,-463,-303,2,20757
2001,_02_02,-138.8716827,69.58237901,48,-1126,-764,2,20497
2003,_02_02,-138.8716827,69.58237901,48,-955,-601,3,4370
2014,_02_02,-138.8716827,69.58237901,48,-982,-647,3,4374
2001,_02_02,-138.9188442,69.5846248,48,-760,-481,2,20497
2003,_02_02,-138.9188442,69.5846248,48,-1373,-987,3,4370
2009,_02_02,-138.9188442,69.5846248,48,-745,-496,3,4110
2017,_02_02,-138.9188442,69.5846248,48,-363,-228,2,20757
2001,_02_02,-138.9278274,69.58687059,48,-760,-481,2,20497
2003,_02_02,-138.9278274,69.58687059,48,-1373,-987,3,4370
2009,_02_02,-138.9278274,69.58687059,48,-745,-496,3,4110
2017,_02_02,-138.9278274,69.58687059,48,-363,-228,2,20757
2001,_02_02,-138.9233358,69.58911638,48,-790,-497,2,20497
2003,_02_02,-138.9233358,69.58911638,48,-924,-584,3,4370
2009,_02_02,-138.9233358,69.58911638,48,-702,-460,3,4370
2017,_02_02,-138.9233358,69.58911638,48,-459,-292,2,20497
2008,_02_18,-138.8716827,69.58237901,50,-950,-637,2,20761
2011,_02_18,-138.8716827,69.58237901,50,-833,-549,2,20757
2001,_02_18,-138.9188442,69.5846248,50,-849,-599,2,20757
2001,_02_18,-138.9278274,69.58687059,50,-849,-599,2,20757
2002,_02_18,-138.8671911,69.57564165,51,-587,-398,3,4370
2002,_02_18,-138.8649453,69.57564165,51,-587,-398,3,4370
